Date,Open,High,Low,Close,Volume
2024-02-20,144.22920841050566,145.18826238907744,142.31108596417207,144.29568481445312,8745500
2024-02-21,142.2730982129797,144.38113030165425,141.38999664055117,144.3431396484375,9760300
2024-02-22,146.96395687610723,147.6666246404757,144.6375290418468,146.94496154785156,11407500
2024-02-23,147.8470421413467,148.9960204144542,146.54614471171095,147.09689331054688,5953300
2024-02-26,148.131920749524,149.53727081248203,147.932506019425,149.10997009277344,6307600
2024-02-27,149.79365510067186,151.17051939710302,149.54677378539418,150.31591796875,6021400
2024-02-28,148.884317333455,149.39967971659942,147.89176162552383,148.7411651611328,5211000
2024-02-29,149.71466297457306,150.98399925359294,149.05613370713988,150.5926971435547,8321400
2024-03-01,152.11969677625567,156.5194200817981,150.85991389458718,155.6509246826172,10405700
2024-03-04,157.58832730578968,160.17472167143086,157.2065784507539,158.962646484375,11865100
2024-03-05,157.21611096754876,158.03688408049666,152.9213709827064,154.08572387695312,9608800
2024-03-06,157.30204979018276,161.52997660422005,156.8343949845891,160.2320098876953,12230500
2024-03-07,161.86400670180907,169.48954789462545,161.70174813096094,167.70484924316406,14495100
2024-03-08,166.84590832767248,167.4662539261328,162.76111940236788,162.78976440429688,11318000
2024-03-11,161.29135629523154,164.1354246541,160.45149131833654,163.3146514892578,7256300
2024-03-12,165.0230129614597,165.96784650387426,162.79929013326674,165.1852569580078,7642200
2024-03-13,163.41009601383598,163.67732313147675,160.90960745757482,161.5299530029297,8730500
2024-03-14,161.8640025010627,162.19802913388958,159.10582531002765,160.76644897460938,8151000
2024-03-15,159.4780258767331,161.07184994300016,158.28504248316924,159.57345581054688,16414600
2024-03-18,163.11425249470497,163.63916815051786,158.7622509897597,159.30624389648438,6653700
2024-03-19,158.5141193235795,158.86725238506259,156.16633566626672,156.61489868164062,7404400
2024-03-20,156.61486543961206,160.4992117891513,156.3571769495037,160.0220184326172,5995800
2024-03-21,162.95199319704633,165.03254924861412,161.89262335935493,163.05697631835938,8497500
2024-03-22,161.81627091608863,164.05907096525476,161.57767423663782,162.3411865234375,5645500
2024-03-25,160.22242496885352,161.07182844921326,159.35392967916442,159.87884521484375,5682500
2024-03-26,160.38468144777903,161.69218651451476,159.38257254020877,159.4493865966797,5289900
2024-03-27,161.72083197856253,161.74946241605798,159.3539569146261,161.41543579101562,6309700
2024-03-28,161.38680805435777,162.14076719233262,160.31788497308972,161.5776824951172,5324000
2024-04-01,160.59468206666202,164.91805340589133,160.53742118473122,163.88731384277344,6679100
2024-04-02,162.6942884486718,163.58186101607512,161.5585660396239,163.23828125,7436300
